trade_date,asset_id,name,industry,market,close,setup_score,close_to_high_60d_pct,ma30_hold_ratio_90d,ma30_deviation_pct,ma20_deviation_pct,red_k_ratio_20d,long_shadow_ratio_20d,max_drawdown_60d,weekly_max_drawdown_26w,total_mv_yi,avg_amount_20d_yi_estimated,max_turnover_rate_20d,strong_industry_hit,strong_concept_hit,strong_industry_names,strong_concept_names,weekly_asof_trade_date
20260703,002916.SZ,深南电路,元器件,主板,454.48,61.781172,-0.007468879668049655,0.8,0.10327103711232133,0.08203469567774158,0.5,0.5720878703276576,-0.1188557806912992,-0.2546065998738877,3095.76596368,59.142287112525004,2.9374,False,True,,PCB概念、先进封装、存储芯片、芯片概念,20260703
20260703,003043.SZ,华亚智能,半导体,主板,100.07,58.271551,-0.0559433962264152,0.8444444444444444,0.29216505761177003,0.17686490809234323,0.65,0.514909121809221,-0.1015197568389058,-0.14054839295442167,140.78815877,7.483608683945001,17.6414,False,True,,芯片概念,20260703
20260703,300037.SZ,新宙邦,化工原料,创业板,88.96,50.441406,-0.04906467129877079,0.9,0.11569107798299338,0.0712780433761635,0.45,0.542870762254299,-0.11881327334083247,-0.13797250859106536,670.65734144,31.586810768195008,8.7592,False,True,,先进封装、氟化工概念、液冷服务器、芯片概念,20260703
20260703,300568.SZ,星源材质,化工原料,创业板,20.0,58.679003,-0.01671583087512285,0.7666666666666667,0.11946564173367857,0.08530497069676546,0.6,0.5114611704279617,-0.18396458435809138,-0.17789890981169476,299.04682,22.03797479546,13.3758,False,True,,芯片概念,20260703
20260703,300661.SZ,圣邦股份,半导体,创业板,139.6,58.607289,-0.027042096459436782,0.8111111111111111,0.1415332197614989,0.1039369269274415,0.65,0.6033205058827086,-0.15086419753086422,-0.1364591541896506,944.5845539999999,26.938235731005012,5.6047,False,True,,存储芯片、芯片概念,20260703
20260703,603991.SH,领先股份,半导体,主板,151.67,56.999636,-0.023185418947639702,0.8333333333333334,0.2516195050297487,0.20143218130401253,0.55,0.5208197799022435,-0.20890277235454913,-0.1774116523400191,231.61480199000002,7.8541800685,15.3754,False,True,,先进封装、存储芯片、芯片概念,20260703
20260703,688059.SH,华锐精密,机械基件,科创板,201.28,49.85787,-0.07572209211553482,0.8555555555555555,0.11768614682957579,0.028095382815872316,0.6,0.6240090096753714,-0.11237973059653628,-0.15015850923992902,201.25343104,8.9703397745,6.8903,False,True,,PCB概念,20260703
20260703,688257.SH,新锐股份,机械基件,科创板,110.45,53.550486,-0.028583992963940208,0.8888888888888888,0.088695766456933,0.08220124338015222,0.7,0.4979292688843241,-0.3183817062445031,-0.23048932299147762,391.4202206,21.0850711835,8.6894,False,True,,PCB概念,20260703
20260703,688359.SH,三孚新科,化工原料,科创板,197.46,50.55794,-0.07512880562060886,0.8333333333333334,0.25249492557510034,0.1691668220937359,0.75,0.5758708675081002,-0.16510215350635005,-0.15857239665687828,196.82832546,8.803152103,7.7323,False,True,,PCB概念,20260703
20260703,688629.SH,华丰科技,元器件,科创板,180.0,52.57969,-0.04005119726947892,0.8444444444444444,0.20374766773889386,0.17594410345694977,0.5,0.4925145616889181,-0.1956860706860707,-0.16757812500000002,842.8588199999999,35.4791428285,16.6712,False,True,,液冷服务器,20260703
